Luas Lahan (m2),Nama Perusahaan,Blok,Alamat,Kawasan,Jenis Industri,Kategori Industri,Negara Investasi,Jenis Bangunan
10276.75,BUKIT BAJA NUSANTARA,W 42-43,Jl. Jababeka XVI,1,"Paku, mur dan baut",Baja/Logam,Indonesia,Kavling
1619,TRILOGAM INDOJAYA,R 1 J,Jl. Jababeka VIIG,1,"Machining, fabrication and engineering, industrial metal working & precision parts",Metal Fabrication,Indonesia,SFB
30510,FRIGOGLASS INDONESIA,P 1,Jl. Jababeka VI,1,Color / mesin pendingin,Mesin,Greece,Kavling
984,TRAKTOR NUSANTARA,C 17 BA,Jl. Jababeka IIIH,1,"Sales, part and service",Otomotif,Indonesia,TOB
1619,SUKSES MANDIRI TEKNIK,R 2 K,Jl. Jababeka VIIG,1,Gudang,Others,Indonesia,SFB
2374,DINAMIKA INTI SURYA CEMERLANG,V 90 C,Jl. Jababeka XVIIC,1,Pemanas air,Jasa,Indonesia,SFB
1619,GEMAPLAST,R 1 G,Jl. Jababeka VIIG,1,Injection Moulding & Assembly,Metal Fabrication,Indonesia,SFB
2024,LANGGENG MAKMUR PERSADA,R 1 D,Jl. Jababeka VIIG,1,Manufacturing,Metal Fabrication,Indonesia,SFB
1908,MITSUYOSHI MANUFACTURING INDONESIA,V 86 A,Jl. Jababeka XVIIA,1,"Plastic injection, speaker cloth, spray, printing",Plastik,Japan,SFB
1908,WINN APPLIANCE,V 88 A,Jl. Jababeka XVIIC,1,Pembuatan regulator,Migas,Indonesia,SFB
14405,GRAFITECINDO CIPTAPRIMA,V 92-93,Jl. Jababeka XVII,1,Industri kemasan kotak dari kertan dan karton,Packaging,Indonesia,Kavling
864,LINTASMARGA NUSANTARA DJAYA,C 17 EA,Jl. Jababeka IIIH,1,Gudang,Others,Indonesia,TOB
2028,DAMAI BUMI SILAMPARI,C 17 V,Jl. Jababeka IIIH,1,Machining alat-alat berat dan part otomotif,Jasa,Indonesia,SFB
1883,SATYAMITRA KEMAS LESTARI,V 90 B,Jl. Jababeka XVIIC,1,Packaging,Packaging,Indonesia,SFB
15816.57,JAVASARI MITRA PRIMA,Q 1,Jl. Jababeka Raya,1,"Produk roti (roti tawar, roti manis dll), serta kue (croissant, sponge, brownies, pastry, cookies, dll)",Makanan,Singapore,Kavling
2042,CATUR INTI CHEMICAL,R 2 M,Jl. Jababeka VIIG,1,"Demulsifier, pour point depresant, corrosion inhibitor, scale inhibitor dll",Kimia,Indonesia,SFB
864,HIMALAYA TUJUH HASTA,C 17 DA,Jl. Jababeka IIIH,1,Gudang,Others,Indonesia,TOB
2028,TRI CENTRUM FORTUNA,V 81 A,Jl. Jababeka IV,1,Suku cadang kendaraan bermotor,Otomotif,Indonesia,SFB
1584,GLOW INDUSTRI HERBAL CARE,T 2 K,Jl. Jababeka IVC,1,Skincare,Kosmetik,Indonesia,SFB
1336,MULIAMAKMUR ELEKTRIKATAMA,B 11 V,Jl. Jababeka VIIIA,1,Panel listrik,Elektronik,Indonesia,SFB
1336,NAGA MASELTRADITAMA,B 11 W,Jl. Jababeka VIIIA,1,"Building Construction, Electrical Work, Mechanical & Plumbing Work, HVAC Work, Data & Telecom Work, Steel Fabrication",Jasa,Japan,SFB
1997,ELIM,T 2 H,Jl. Jababeka IVC,1,Gudang,Others,Indonesia,SFB
1584,GARAM COSMETIC INDONESIA,T 2 F,Jl. Jababeka IVC,1,Packaging cosmetic,Packaging,South Korea,SFB
1584,BP JIMMY,T 2 G,Jl. Jababeka IVC,1,,Others,Indonesia,SFB
1566,WALINDO JAYA ABADI,J 7 H,Jl. Jababeka VIB,1,"Rubber sheet, Rubber Sleeve/Hose, Soeft Rubber, etc.",Plastik,Indonesia,SFB
2823,FITTO NATURA MEDICA,B 11 A,Jl. Jababeka VIIIA,1,"Obat tradisional (cairan obat luar, kapsul, pil)",Farmasi,Indonesia,SFB
1997,IINO INDONESIA,T 2 M,Jl. Jababeka IVC,1,Spareparts kendaraan roda dua dan roda empat,Otomotif,Japan,SFB
1330,TIMURRAYA KARYA MANDIRI,B 11 N,Jl. Jababeka VIIIA,1,Pelumas (oli otomotif),Otomotif,Indonesia,SFB
