Luas Lahan (m2),Nama Perusahaan,Blok,Alamat,Kawasan,Jenis Industri,Kategori Industri,Negara Investasi,Jenis Bangunan
2610,TRIMITRA KARYA MANDIRI,A 8 G,Jl. Tekno 3,3,Kusen pintu jendela alumunium,Material Bangunan,Indonesia,SFB
576,ISHO UTAMAS,E 3 E,Jl. Tekno 5,3,Steel Manufacture,Baja/Logam,Indonesia,TOB
60000,SHIN HEUNG INDONESIA,A 5 A,Jl. Tekno Raya,3,"Komponen Elektronik (tray disk, main frame, top cover, bottom cover, dll)",Elektronik,South Korea,Kavling
2070,INDO PRESISI ENGINEERING,A 8 F,Jl. Tekno 3,3,"Engineering & trading company specialising in rotating equipment for the oil, gas and petrochemical industries",Kimia,Indonesia,SFB
4924,FUKOKU INDUSTRIES INDONESIA,B 5 A,Jl. Tekno Boulevard,3,Hydraulic Hose,Jasa,Japan,SFB
5253,LAMBERTI INDONESIA,E 2 A-B,Jl. Tekno 5,3,Bahan kimia,Kimia,Italy,SFB
2569,COMARINDO PERDANA LOGISTIK,B 6 E,Jl. Tekno Boulevard,3,Handling jasa,Jasa,Indonesia,SFB
2362,KAWATA INDONESIA,E 1 A,Jl. Tekno 5,3,Industri mesin untuk keperluan umum lainnya,Mesin,Japan,SFB
557,BALINDO MITRA USAHA,B 2 C,Jl. Samsung 1A,UKM,Cutting tools,Mesin,Indonesia,TOB
1335.83,DOM PIZZA INDONESIA,B 3 F7,Jl. Science Timur 1,5,Pizza (Gudang),Makanan,USA,SFB
9984,FANUC INDONESIA,A 1 C1,Jl. Science Boulevard,5,Fanuc machine & parts,Jasa,Japan,Kavling
3291,METALINDO GUNA TEKNIK INDUSTRI,B 6 A,Jl. Tekno Boulevard,3,Engineering dan fabrikasi,Jasa,Indonesia,SFB
2070,DUA RIMBA MEDTECH,A 8 E,Jl. Tekno 3,3,Alat kesehatan,Farmasi,Singapore,SFB
2052,TRIMULYA GEMILANG,B 6 C,Jl. Tekno Boulevard,3,"Aluminium anode, zinc anode, anode clamp",Baja/Logam,Indonesia,SFB
2587,YONGHEN MOTOR KOMPONEN,B 6 D,Jl. Tekno Boulevard,3,Industri mesin dan perkakas mesin untuk pengerjaan logam,Metal Fabrication,Indonesia,SFB
864,GALILEO INDONESIA,E 3 J,Jl. Tekno 5,3,Jasa pengecatan,Otomotif,Indonesia,TOB
2510,SUNJAE ELECTRONIC INDONESIA,A 8 C,Jl. Tekno Raya,3,Industri semi konduktor dan komponen elektonik lainnya,Elektronik,South Korea,SFB
2070,KANUC INDONESIA,A 8 J,Jl. Tekno 3,3,Nitridasi (jasa industri untuk berbagai pengerjaan khusus logam dan barang dari logam),Metal Fabrication,Japan,SFB
779,CENTRAL SATRYA PERDANA,B 3 A,Jl. Samsung 1A,UKM,Screen Printing,Kimia,Indonesia,TOB
1564,FIRST MACHINERY TRADE CO,A 8 B,Jl. Tekno Raya,3,Mesin Manufaktur,Mesin,Indonesia,SFB
4463,ENPLAS INDONESIA,B 6 F,Jl. Tekno Boulevard,3,Industri barang dan peralatan teknik/industri dari plastik,Plastik,Japan,Kavling
6500,NIPPON STEEL CHEMICAL AND MATERIAL INDONESIA,E 3 A,Jl. Tekno 3,3,Komponen roda dua dan tiga,Otomotif,Japan,Kavling
576,WAKI PRECISION INDONESIA,E 3 I,Jl. Tekno 3,3,,Others,Malaysia,TOB
426,KREASI NIAGA ARTA GIGIH INDONESIA,B 2 D,Jl. Samsung 1A,UKM,Fastener,Kimia,Indonesia,COB
2162,KSIN INDONESIA,FF 1 A,Jl. Industri Selatan 7,2,Sintered parts & component of electronic parts,Elektronik,Japan,SFB
6120,FONKO INTERNATIONAL PHARMACEUTICALS,PP 7 B,Jl. Industri Selatan 5,2,Injeksi liquid dan injeksi lyo,Farmasi,Indonesia,Kavling
1012,WAHANA PENDAWA BAKTI,U 22 P,Jl. Jababeka XVII-I,1,Machining,Mesin,Indonesia,TOB
546,DECAL INDONESIA,B 3 F,Jl. Samsung 1A,UKM,Sticker,Plastik,Japan,TOB
2262,KENSO INDONESIA,B 5 C,Jl. Tekno Boulevard,3,Gudang dan kantor,Kimia,Malaysia,SFB
3147,KHARISMA SURYA SEMESTA,C 1 G-I,Jl. Samsung 2,UKM,Forklift (jasa alat berat),Jasa,Indonesia,SFB
642,YUTAKA ROBOT SYSTEMS INDONESIA,B 2 A,Jl. Samsung 1A,UKM,Trading Komponen Robotik,Otomotif,Japan,TOB
2534,GERNE INTERNASIONAL,EE 5 D,Jl. Industri Selatan 7,2,Bolts nuts speciall for tower bridge and other metal construction,Metal Fabrication,Indonesia,SFB
736,SWADHARMA SARANA INFORMATIKA,B 3 C,Jl. Samsung 1A,UKM,Jasa pengelolaan Uang Rupiah,Jasa,Indonesia,TOB
20000,MONDE MAHKOTA BISKUIT,A 7,Jl. Tekno Raya,3,Biskuit,Makanan,Indonesia,Kavling
19968,TUMBAKMAS NIAGASAKTI,A 1 C,Jl. Science Boulevard,5,Makanan dan barang keperluan rumah tangga,Consumer Goods,Indonesia,Kavling
40000,TOTAL LOGISTICS,B 3 C,Jl. Science Timur 1,5,,Others,Indonesia,Kavling
10000,ASAHI INDONESIA,B 3 E,Jl. Science Timur 1,5,Komponen alat berat,Metal Fabrication,Japan,Kavling
1380,KOJIMA MANUFACTURING INDONESIA,E 18 G,Jl. Jababeka IX,1,Spare part kendaraan roda empat,Otomotif,Japan,SFB
1380,TRIM RUBBER,E 18 I,Jl. Jababeka IX,1,Manufactures rubber hose,Otomotif,Japan,SFB
1890,JFD INDONESIA,E 18 J,Jl. Jababeka IX,1,Window regulator,Otomotif,Japan,SFB
612,TUBINDO ULTRA PRIMA,C 3 N,Jl. Samsung 2C,UKM,PVC Tube / selang pvc / corugated tube,Plastik,Indonesia,TOB
2130,SANBA INDUSTRIES INDONESIA,E 18 F,Jl. Jababeka IX,1,"Producing component part of heavy equipment, truck and buses",Mesin,Indonesia,SFB
474,AUTOMATION INTEGRATOR,C 1 N,Jl. Samsung 2A,UKM,Machinery,Mesin,Japan,SIB
500,KYOEI INDONESIA,A 1 B,Jl. Science Boulevard,5,Bolt,Otomotif,Japan,Kavling
42210,SARI TAKAGI ELOK PRODUK,A 1 B,Jl. Science Boulevard,5,Press stamping kendaraan roda empat,Otomotif,Japan,Kavling
474,NOAH TECH INDONESIA,C 1 P,Jl. Samsung 2A,UKM,"Industri pengolahan dan percetakan, Printing",Packaging,China,COB
711,TRIMAS KEMASINDO,C 1 M,Jl. Samsung 2A,UKM,,Others,Indonesia,TOB
336,CIKARANG MITRA SERVICES,C 2 J,Jl. Samsung 2C,UKM,Mesin dan alat-alat pembangkit listrik,Mesin,Indonesia,COB
1893,WOBN TECHNOLOGY INDONESIA,E 18 A,Jl. Jababeka IX,1,Panel distribusi & alat elektrikal lainnya,Elektronik,Indonesia,SFB
1226,OSG INDONESIA,E 18 D,Jl. Jababeka IX,1,Cutting tools,Mesin,Japan,SFB
1679,NADESCO INDONESIA,P 2 H-1,Jl. Jababeka IXA,1,"Perdagangan besar (trading, jual beli)",Mesin,Japan,SFB
1434,TECHNO HOEI INDONESIA,U 22 Q,Jl. Jababeka XVII-I,1,Aksesoris roda empat dan lebih,Otomotif,Japan,SFB
336,HELISTROM SUKSES INDONESIA,C 3 C,Jl. Samsung 2C,UKM,Plastik,Plastik,Malaysia,COB
926,KHARISMA ESA UNGGUL,C 5 B,Jl. Samsung 2A,UKM,Material Handling Equipment,Consumer Goods,Indonesia,TOB
705,TITON MAKMUR SENTOSA,C 2 A,Jl. Samsung 2A,UKM,"Cable management solution (cable ties), voice/data networks, security and identification.",Jasa,Indonesia,TOB
336,SINAR SRIKANDI ESHALEKTRIKA,C 3 M,Jl. Samsung 2C,UKM,"Pengolahan plat metal antara lain Panel Listrik, Lemari, Locker, Rak, dan sebagainya",Metal Fabrication,Indonesia,SIB
900,BERKAT SWASTI INDOJAYA,C 5 A,Jl. Samsung 2A,UKM,"Pallet, trolly, gantry, piping, dll",Metal Fabrication,Indonesia,TOB
1495,PRESISI SUKSES MANDIRI,A5 J 2,Jl. Science Timur 1,5,Milling,Jasa,Indonesia,SFB
,CHUAN TIAN PRINTING SUPPLIES INDONESIA,B 3 F5,Jl. Science Timur 1,5,Perdagangan tinta,Trading,China,SFB
,FCTEC FASTENER INDONESIA,B 3 F6,Jl. Science Timur 1,5,Fasterner parts,Kimia,Japan,SFB
1145,FARINDO ELEKTRIK SISTEM,B 3 F11,Jl. Science Timur 1,5,"Automotive parts, Electrical systems and heavy equipment, as well as the harness assembly process cable / wiring systems for all Automotive needs, Audio, Video, Electronics and others (Main harness, Sub harness or Custom harness)",Otomotif,Indonesia,SFB
1104,DAICHINDO SUKSES MANDIRI,C 1 D,Jl. Samsung 2,UKM,Engineering contractor and manufacturing,Jasa,Indonesia,COB
762,ARTHA UTAMA GEMILANG FOODINDO,C 5 C,Jl. Samsung 2B,UKM,Foods,Consumer Goods,Indonesia,TOB
1368,JASCO CHEMICALS INDONESIA,C 1 A,Jl. Samsung 2,UKM,Elektroplating additive,Kimia,Japan,SFB
480,EKADHARMA INTERNATIONAL TBK,C 2 G,Jl. Samsung 2A,UKM,Semua jenis lakban/opp,Packaging,Indonesia,SIB
1104,KORINA ABADI GLOBAL,A 3,Jl. Samsung 1,UKM,Case remote control (moulding injection plastic),Plastik,South Korea,TOB
911,SAGA HIKARI TEKNINDO SEJATI,C 2 H,Jl. Samsung 2A,UKM,Dies,Mesin,Indonesia,TOB
575,HERMON PANCAKARSA LIBRATAMA,C 2 R,Jl. Samsung 2C,UKM,Distributor dan penyedia jasa produk-produk maintenance,Trading,Indonesia,COB
480,MITRA CIPTA TEKNIKA,U 22 J3,Jl. Jababeka XVII-I,1,Fabrication,Mesin,Indonesia,SIB
588,AIRLOCK INDONESIA JAYA RAYA,C1 B 7,Jl. East Park Boulevard,6,"BFM, Eclipse, Solimar, Jacob",Jasa,India,TOB
438,OTOMASI BERSAMA INDONESIA,U 22 G,Jl. Jababeka XVII-I,1,Perdagangan besar suku cadang dan aksesori mobil,Trading,Indonesia,SIB
1798,WIGULI INDUSTRIAL INDONESIA,A2 11,Jl. Science Boulevard,5,Jendela dan pintu aluminium,Baja/Logam,China,SFB
1104,ZI - TECHASIA,C 1 E,Jl. Samsung 2,UKM,Export/import trading,Trading,Switzerland,COB
2514,DAE HWA INDONESIA,SS 6 D,Jl. Industri Utara 1,2,"Packaging, die cutting, printing, cnc",Elektronik,South Korea,SFB
10775,SUM HING INDONESIA,DP 5 D,Jl. Tekno Boulevard,3,Jasa reparasi moulding dan peralatan pendukungnya,Jasa,Indonesia,Kavling
511,KOHKEN WATERTECH INDONESIA,FF 1 O,Jl. Industri Selatan 5,2,"Mesin, peralatan dan perlengkapan WWT",Trading,Malaysia,TOB
12028,VIRTUE DIAGNOSTICS INDONESIA,B 3 B,Kawasan Industri Jababeka VII,7,Reagent dan alat diagnostik,Farmasi,China,Kavling
1104,WELGROW INDOPERSADA,A 3 A,Jl. Samsung 1,UKM,Gudang,Others,Indonesia,COB
511,OPTIMA ELEKTRONIK MANUFAKTUR,FF 1 M,Jl. Industri Selatan 5,2,Audio video kendaraan,Elektronik,Indonesia,SIB
415,KARYA GUNA TEKNIK,FF 1 R,Jl. Industri Selatan 5,2,Mechanical & electrical,Jasa,Indonesia,SIB
2320,VICTORY BLESSINGS INDONESIA,A5 J 5,Jl. Science Timur 1,5,"Pallet plastik, mesin produksi",Trading,Indonesia,SFB
1426,GOFORTH PERKASA SOLUTIONS,A2 12,Jl. Science Boulevard,5,,Others,Indonesia,SFB
1798,SAKATA INX INDONESIA,A2 18,Jl. Science Boulevard,5,Kegiatan pergudangan,Kimia,Indonesia,SFB
2320,TOKOTON MEIWA INDONESIA,A5 J 6,Jl. Science Timur 1,5,Manufaktur mesin-mesin khusus,Mesin,Japan,SFB
511,ARBE GLOBAL TRADING,FF 1 N,Jl. Industri Selatan 5,2,Bahan dan barang kimia,Kimia,Indonesia,SFB
,UCT INDUSTRY INDONESIA,BIZ A 11,Jl. Samsung Raya,UKM,E-liquad dan rokok elektrik,Elektronik,China,BIZ
,PUTRA ADHIKARYA SAKTI,BIZ A 08,Jl. Samsung Raya,UKM,Industri kelistrikan,Elektronik,Indonesia,BIZ
604,GOLDEN SARI FOOD,FF 1 S,Jl. Industri Selatan 5,2,Sodium Cyclamate,Kimia,Indonesia,SFB
,INDAH KREASINDO,BIZ A 01,Jl. Samsung Raya,UKM,Digital Printing,Komersil,Indonesia,BIZ
519,PLASTINDO KAWAN SEJAHTERA,FF 1 T,Jl. Industri Selatan 5,2,Alat kesehatan,Farmasi,Indonesia,SFB
411,TEKNIK BINA MANDIRI,FF 1 U,Jl. Industri Selatan 5,2,Machinery,Mesin,Indonesia,SFB
,YOZAROS DWI SAKTI HARAHAP,BIZ A 03,Jl. Samsung Raya,UKM,Gudang,Others,Indonesia,BIZ
,SUPRA PASIFIK SARANA,BIZ A 06,Jl. Samsung Raya,UKM,Petroleum And Derivatives,Jasa,Indonesia,BIZ
,MULTI TEKNOLOGI DINAMIKA,BIZ A 17,Jl. Samsung Raya,UKM,Assembly fixtures,Jasa,Indonesia,BIZ
,WATERLINE,BIZ A 19,Jl. Samsung Raya,UKM,Evaporative Cooler,Elektronik,Malaysia,BIZ
,TOOL BOX INDONESIA,BIZ A 20,Jl. Samsung Raya,UKM,"Perdagangan besar (cutting tool, endmil, dll)",Trading,Indonesia,BIZ
,CENTRO MULTI NIAGA,BIZ A 21,Jl. Samsung Raya,UKM,Gudang,Others,Indonesia,BIZ
,GUNA SUKSES INTI,BIZ A 23,Jl. Samsung Raya,UKM,Laboratorium penguji N0. LP-1450-IDN dan laboratorium kalibrasi N0. LK-230-IDN,Jasa,Indonesia,BIZ
,COSMOWAVE,BIZ A 25,Jl. Samsung Raya,UKM,Leak Tester,Trading,Malaysia,BIZ
,MITS DUTA UTAMA,BIZ A 27,Jl. Samsung Raya,UKM,"Oil Industries, Metal Working Industries, Water Treatment, Paper Industries And Construction Kimia",Kimia,Indonesia,BIZ
1728,LANMEI TECHNOLOGY NEW MATERIALS,D 1,Jl. Samsung 2,UKM,Foam,Plastik,China,SFB
435,CAKRA PILAR WISESA,FF 1 Q,Jl. Industri Selatan 5,2,Tepung,Makanan,Indonesia,SIB
,NIKKEN KOSAKUSHO INDONESIA,BIZ A 16,Jl. Samsung Raya,UKM,Machine accessories,Trading,Japan,BIZ
4060,GALA NATURA KREASI,A3 A,Kawasan Industri Jababeka VII,7,Pengolahan produk dari susu lainnya,Makanan,Indonesia,Kavling
,ORIENTAL ABADI INDONESIA,BIZ A 22,Jl. Samsung Raya,UKM,Spare Part Industry (trading),Trading,Indonesia,BIZ
,ACCURA PRECISION INDONESIA,BIZ A 09,Jl. Samsung Raya,UKM,Steel wire,Baja/Logam,Indonesia,BIZ
,INTI BOND SEJAHTERA INDONESIA,BIZ A 12,Jl. Samsung Raya,UKM,Bahan Perekat,Packaging,Indonesia,BIZ
12417,SUPER OPTICS JAKARTA INDONESIA,DP 5 A,Jl. Tekno Boulevard,3,Barang plastik lembaran,Plastik,China,Kavling
34800,SANJAYA INTERNASIONAL FISHERY,A 5,Jl. Tekno Raya,3,Hasil laut perikanan (cold storage),Makanan,Indonesia,SIB
,MS MANDIRI PERKASA,BIZ D 10,Jl. Samsung Raya,UKM,Gudang,Others,Indonesia,BIZ
,JAYAINDO ABADI MAKMUR,BIZ D 12,Jl. Samsung Raya,UKM,"Packaging tape, lakban, wrapping, strapping band",Plastik,Indonesia,BIZ
,FARCA RISA SEJAHTERA,BIZ D 17,Jl. Samsung Raya,UKM,Bahan kimia khusus,Kimia,Indonesia,BIZ
,BERKAH DUTA TIDAR,BIZ D 01,Jl. Samsung Raya,UKM,Produksi Sabun Atau Deterjen,Consumer Goods,Indonesia,BIZ
,ALAT INDUSTRI UTAMA,BIZ D 16,Jl. Samsung Raya,UKM,"Pompa, Vacuum Pump, Blower",Elektronik,Indonesia,BIZ
,GODAI TEHNIK INDONESIA,BIZ D 02,Jl. Samsung Raya,UKM,"Robotic installation, electrical installation, engineering support and machining relation",Mesin,Indonesia,BIZ
511,MURSMEDIC JAYA MANDIRI,FF 1 J,Jl. Industri Selatan 5,2,"Alat kesehatan elektromedis non radiasi, alat kesehatan non elektromedis steril, alat kesehatan non elektromedis non steril, produk dianoanostic invitro, produk perbekalan kesehatan rumah tangga",Farmasi,Indonesia,SFB
,GLOBAL ELEKTRONIK PRODUK SUPPLIER INDONESIA,BIZ D 03,Jl. Samsung Raya,UKM,Perdagangan suku cadang elektronik,Elektronik,Indonesia,BIZ
,TNJ FOOD INDONESIA,BIZ D 05,Jl. Samsung Raya,UKM,,Others,Indonesia,BIZ
3046,BERKAH,DP 11 1,Jl. Tekno Raya,3,Kaca,Material Bangunan,Indonesia,Kavling
2718,SHELL INDONESIA,A 5 A,Jl. Science Timur 1,5,SPBU (pom bensin),Komersil,Indonesia,Kavling
,MYUNG SUNG INTERNATIONAL,BIZ D 15,Jl. Samsung Raya,UKM,Jasa cutting dan gulung mono chaffer clsk black dan mono chaffer APX,Mesin,South Korea,BIZ
2652,REKSO NASIONAL FOOD,CC 3 C,Jl. Niaga Raya,2,Master franchisee of Mc Donald's Corporation USA in Indonesia,Makanan,USA,Kavling
906,CIKOS INDONESIA,FF 1 G,Jl. Industri Selatan 5,2,Industri kosmetik,Kosmetik,Indonesia,TOB
,PURWASARI AYU KOSMETIK,BIZ D 18,Jl. Samsung Raya,UKM,Kosmetik,Farmasi,Indonesia,BIZ
21725,SUMBER REZEKI,B 7,Kawasan Industri Jababeka VII,7,"Crane, forklift, boolift, excavator, scissorlift (jasa rental)",Jasa,Indonesia,Kavling
10000,HULANE TECH MANUFACTURING,B 3 J,Jl. Science Timur 1,5,Industri semi konduktor dan komponen elektronik lainnya,Elektronik,Taiwan,Kavling
12546,SHINKOH INDONESIA,D 2 A,Jl. East Park Boulevard,6,Industri mesin dan perkakas mesin untuk pengerjaan logam,Mesin,Japan,Kavling
1691,COMMONWEALTH CULINARY CREATIONS INDONESIA,B 5 E1,Jl. Science Timur 3,5,,Others,Indonesia,SFB
200,CHEMICALS AND MACHINERY INDONESIA,BIZ QQ2 07,Jl. Niaga Industri Selatan 2,2,Chemical,Kimia,Indonesia,BIZ
223,KAMIYA SAW AND KNIFE INDONESIA,BIZ QQ2 16,Jl. Niaga Industri Selatan 2,2,Saw blade and knife for industri (perkakas dan alat potong),Jasa,Japan,BIZ
,TATA SENTOSA PRASETYA,BIZ D 08,Jl. Samsung Raya,UKM,,Others,Indonesia,BIZ
200,AFOUR ERA WIJAYA,BIZ QQ2 08,Jl. Niaga Industri Selatan 2,2,Jasa maintenance,Jasa,Indonesia,BIZ
887,ABADI TEKNIKAL WIJAYA,B 3 G,Jl. Samsung 1A,UKM,"Perdagangan Besar Mesin Kantor dan Industri, Suku Cadang dan Perlengkapannya",Trading,Indonesia,TOB
231,HAYES LANCAR MAJU,BIZ QQ2 25,Jl. Niaga Industri Selatan 2,2,Warehouse,Gudang,Indonesia,BIZ
9653,ANUGRAH TRI PERSADA,K-D,Jl. Tekno Park 1,3,Sizing frozen tuna,Makanan,Indonesia,Kavling
230,BRIPASSHA MOULD SEJATI,BIZ QQ2 20,Jl. Niaga Industri Selatan 2,2,manufaktur,Mesin,Indonesia,BIZ
200,TRIDENS INDOTAMA,BIZ QQ2 09,Jl. Niaga Industri Selatan 2,2,Mechanical Seals,Mesin,Indonesia,BIZ
5329,COMMOTRADE,A 5 A,Jl. Jababeka Park 5,7,Semir sepatu,Kimia,Indonesia,Kavling
257,DAEIL ABADI INDONESIA,BIZ QQ2 05,Jl. Niaga Industri Selatan 2,2,Tinta (perdagangan),Trading,South Korea,BIZ
,LIE KIEM LAN,BIZ D 09,Jl. Samsung Raya,UKM,Gudang,Others,Indonesia,BIZ
438,SENIUN HADAFA,QQ2 05,Jl. Niaga Industri Selatan 1,2,Telescopic cover,Otomotif,Indonesia,SIB
2416,INTI ATSIRI INDONESIA,DP 11 C,Jl. Tekno Raya,3,Kosmetik (sabun padat),Kosmetik,Indonesia,Kavling
6180,LINTAS DIRGA NUSANTARA,B 5 H,Jl. Science Timur 3,5,Gudang,Others,Indonesia,Kavling
428,ARIMAN PUTRAJAYA NUSANTARA,QQ2 02,Jl. Niaga Industri Selatan 1,2,Trading (toko),Kimia,Indonesia,SIB
433,MUSTIKA DIPA LESTARI,QQ2 03,Jl. Niaga Industri Selatan 1,2,Chemical wholesaler,Kimia,Indonesia,SIB
6282,PRECISION TOOLS SERVICE INDONESIA,B 5 D,Jl. Science Timur 3,5,Perdagangan mesin dan sparepart kendaraan,Trading,Japan,Kavling
5259,SANPO RUBBER INDONESIA,A 5,Jl. Tekno Industri 1,8,Rubber otomotif,Otomotif,Japan,Kavling
241,ERNI UMARYANTI,BIZ QQ2 17,Jl. Niaga Industri Selatan 2,2,Gudang,Others,Indonesia,BIZ
1193,SETIA ANUGRAH INDONESIA,B 5 B 15,Jl. Science Timur 3,5,Alat kesehatan diagnostik in vitro,Farmasi,Indonesia,TOB
243,TIGADARA BERKAH SEJAHTERA,BIZ QQ2 18,Jl. Niaga Industri Selatan 2,2,"Industri kosmetik untuk manusia, termasuk pasta gigi, industri sabun dan bahan pembersih keperluan rumah tangga",Kimia,Indonesia,BIZ
462,GAJAH MUNGKUR INDONESIA PERKASA,QQ2 09,Jl. Niaga Industri Selatan 1,2,Jasa Kontraktor,Jasa,Indonesia,SIB
626,GLORY ENGINEERING SOLUTION,QQ2 10,Jl. Niaga Industri Selatan 1,2,"Construction machines, mining equipment, and other machineries",Mesin,South Korea,SIB
4226,SOLAR ALERT ENERGY,B 5 F,Jl. Science Timur 3,5,Wellhead dan xmas tree,Otomotif,Malaysia,Kavling
15076,BANGUN PUTRA KARAWANG,A 1 A3,Jl. Tekno Industri,8,Pergudangan dan penyimpanan,Gudang,Indonesia,Kavling
316,XILIN FORKLIFT INDONESIA,BIZ QQ2 02,Jl. Niaga Industri Selatan 2,2,Forklift,Jasa,China,BIZ
5061,HANTA MAJU MAKMUR,A 1 A1,Jl. Tekno Industri,8,Makanan,Makanan,Indonesia,Kavling
2500,MUSTIKA PRIMA ENERGY,A5 D 6,Jl. Science Timur 1,5,SPBU (pom bensin),Komersil,Indonesia,Kavling
224,ALFADINAR CALLISTA PUTRI,BIZ QQ2 21,Jl. Niaga Industri Selatan 2,2,Gudang,Others,Indonesia,BIZ
458,FUTARI MECCA UTAMA,QQ2 08,Jl. Niaga Industri Selatan 1,2,Adhesive and double tape ,Packaging,Indonesia,SIB
3046,ELVINCO MED TECH,DP 11 4,Jl. Tekno Raya,3,In vitro diagnostic,Farmasi,Indonesia,Kavling
1492,GEMILANG MAJU KENCANA,W 38-1,Jl. Jababeka XVI,1,Industri suku cadang dan aksesori kendaraan bermotor roda empat atau lebih,Otomotif,Malaysia,SFB
299,GLOBAL MANDIRI INSTRUMENTASI,BIZ QQ2 03,Jl. Niaga Industri Selatan 2,2,Kalibrasi alat ukur (jasa kalibrasi),Jasa,Indonesia,BIZ
20000,MODAGRAFICS AUTO INDONESIA,E 4-5,Jl. Jababeka Raya,1,Printing dan label,Packaging,Malaysia,Kavling
8793,DHL EXPRESS INDONESIA,B 5 G,Jl. Science Timur 3,5,Jasa pengiriman barang,Jasa,Indonesia,Kavling
1691,AZ TECS INDONESIA,B 5 E3,Jl. Science Timur 3,5,Cutting tools (Perdagangan dan jasa industri logam),Jasa,Japan,SFB
1691,AZ TECS PRECISION INDONESIA,B 5 E3,Jl. Science Timur 3,5,Cutting tools (Perdagangan dan jasa industri logam),Jasa,Japan,SFB
17290,NEXTIER ASKARA CENTER,A 1 B1,Jl. Science Boulevard,5,Pusat data,Jasa,Indonesia,Kavling
1982,SUMBER CIPTA MULTINIAGA,RR 3 A-B 1,Jl. Industri Utama 1,2,Distributor rokok (perdagangan),Trading,Indonesia,TOB
1652,AXALTA COATING SYSTEMS INDONESIA,B 2 P,Jl. Tekno 1,3,Cat,Kimia,USA,SFB
7988,DATACOMM DIANGRAHA,A 3 B1,Jl. Tekno Industri 2,8,"Penglolaan big data, cloud computing",Jasa,Indonesia,Kavling
3038,OSF FLAVORS ASIA,C1 C 1,Jl. East Park Boulevard,6,Bubuk dan cair,Kimia,USA,SFB
599,BIMA ASRI INTERMITRA,QQ2 06,Jl. Niaga Industri Selatan 1,2,Perdagangan barang,Consumer Goods,Indonesia,SIB
218,GOKASINA TEKNIK,BIZ QQ2 23,Jl. Niaga Industri Selatan 2,2,Gudang,Others,Indonesia,BIZ
609,HANDA TEKNOLOGI INDONESIA,QQ2 07,Jl. Niaga Industri Selatan 1,2,"Konstruksi Pengolahan air, limbah dan perdagangan umum",Jasa,Indonesia,SIB
1368,EXINERGY MITRA SOLUSI,K 1 N,Jl. Jababeka Raya,1,"Cleaning Solutions, Sanitation & Disinfectant Solutions (Gudang)",Kimia,Indonesia,SFB
1085,COMTRONICS SYSTEMS,B 5 B 12,Jl. Science Timur 3,5,Jasa layanan internet,Jasa,Indonesia,TOB
713,NIAS NUSANTARA INDONESIA,B 5 B 8,Jl. Science Timur 3,5,Makanan siap saji (catering),Jasa,Indonesia,TOB
1674,DANO JAYA INDONESIA,B 5 B 5,Jl. Science Timur 3,5,Injection molding and assembly part,Plastik,Indonesia,ESPACE
5000,TECNO GLOW INNOVATION,B,Jl. Tekno Industri 2,8,Kosmetik (Produk Obat Kimia),Farmasi,Indonesia,Kavling
5350,YOOWON ELECTRONICS INDONESIA,KK 3 M-B,Jl. Industri Selatan 1B,2,Evaporator,Kimia,South Korea,Kavling
20000,ARGAPURA,A 5 G,Jl. Science Timur 1,5,"PVC Under Body Coating, PVC Body Sealer, Peredam DFoam",Otomotif,Indonesia,Kavling
1426,KUMAR CONTAINERS PVT LTD,B 5 B 3,Jl. Science Timur 3,5,Drum,Jasa,India,ESPACE
713,KHARISMA CIPTAREKA MEDIKATAMA INTERNATIONAL,B 5 B 7,Jl. Science Timur 3,5,Alat kesehatan,Farmasi,Indonesia,TOB
10000,COMBIPHAR DONGA INDONESIA,B 3 M,Jl. Science Timur 1,5,Belum produksi,Farmasi,Indonesia,Kavling
1144,INDOJAYA KIMIA,WW5 19,Jl. Industri Timur Raya,2,,Others,Indonesia,TOB
34990,SELATOX BIO PHARMA,A5 D 8,Jl. Science Timur 1,5,Drug product (biological),Farmasi,South Korea,Kavling
713,SWARNIM MURNI MULIA,B 5 B 11,Jl. Science Timur 3,5,Perhiasan,Baja/Logam,India,TOB
1674,SHKKEVA INDONESIA,B 5 B 1,Jl. Science Timur 3,5,Industri minyak atsiri rantai tengah,Kimia,India,ESPACE
269,RHEIMA AUTOPRESISI INDONESIA,WW5 C 16,Jl. Niaga Timur 1,2,Jasa Sortir,Jasa,Indonesia,BIZ
1741,TOPRECISION FASTENING INDONESIA,A 2 B 2,Jl. Tekno Industri 1,8,Sekrup presisi tinggi,Jasa,China,SFB
1993,JINGPU BIOTECHNOLOGY INDONESIA,A 2 B 3,Jl. Tekno Industri 1,8,"Snus, rokok elektrik, liquid rokok elektrik",Elektronik,China,SFB
990,MARDIZU SEJAHTERA,WW5 C 18,Jl. Industri Timur Raya,2,"Pelatihan Kerja, Rental Mobil, Outsorcing Dan Distributor Alat Alat Industrial",Jasa,Indonesia,TOB
1545,SYSPEX KEMASINDO,WW5 12,Jl. Industri Timur Raya,2,"Packaging, material handling & warehouse",Trading,Singapore,SMH
582,GLOBAL SAHABAT OTOMASI,WW5 11,Jl. Industri Timur Raya,2,,Others,Indonesia,SIB
1085,EUROFINS ANGLER�BIOCHEMLAB,B 5 B 9,Jl. Science Timur 3,5,Jasa pengujian laboratorium (sertifikat hasil uji),Jasa,Vietnam,TOB
